Emotion,Time Step
sad,53.52
sad,53.56
sad,53.6
sad,53.64
sad,53.68
sad,53.8
sad,54.88
sad,54.92
sad,55.0
sad,55.04
sad,55.08
sad,55.16
sad,55.24
sad,55.96
sad,56.0
sad,56.08
sad,56.16
sad,56.2
sad,56.32
sad,56.36
sad,56.4
sad,56.44
sad,56.48
sad,56.52
sad,56.56
sad,56.6
sad,56.8
sad,56.84
sad,56.88
sad,56.92
sad,56.96
sad,57.0
sad,57.04
sad,57.08
sad,57.12
sad,57.16
sad,57.2
sad,57.44
sad,58.0
sad,58.2
sad,58.32
sad,58.36
sad,58.84
sad,58.92
sad,58.96
sad,59.0
sad,59.08
sad,59.12
sad,59.16
sad,59.2
sad,59.24
sad,59.28
sad,59.32
sad,59.36
sad,59.4
sad,59.44
sad,59.48
sad,59.52
sad,59.56
sad,59.76
sad,59.8
sad,59.84
sad,59.92
sad,60.08
sad,60.32
angry,60.32
sad,60.36
sad,60.88
sad,61.0
sad,61.48
sad,61.52
sad,62.6
sad,62.68
sad,62.84
sad,63.04
sad,63.12
angry,63.4
happy,63.8
neutral,65.52
sad,80.68
sad,81.56
sad,81.6
angry,81.64
sad,81.68
sad,81.96
sad,82.0
sad,82.04
sad,82.08
fear,82.12
fear,82.24
sad,82.28
fear,82.36
fear,82.4
fear,82.44
sad,82.56
sad,82.6
sad,82.64
angry,82.64
fear,82.68
angry,82.72
fear,82.76
fear,82.8
fear,82.84
sad,82.88
sad,82.92
sad,82.96
sad,83.0
sad,83.04
sad,83.08
happy,83.12
sad,83.16
angry,83.16
sad,83.2
sad,83.24
angry,83.24
sad,83.28
sad,83.32
angry,83.32
angry,83.36
sad,83.44
sad,83.48
sad,83.52
sad,83.56
sad,83.6
sad,83.64
sad,83.68
sad,83.72
sad,83.76
fear,83.8
sad,83.84
sad,83.88
fear,83.92
fear,83.96
angry,84.0
sad,84.04
fear,84.08
fear,84.12
sad,84.16
sad,84.2
sad,84.24
sad,84.28
sad,84.32
fear,84.36
fear,84.4
sad,84.44
sad,84.48
sad,84.52
sad,84.56
sad,84.6
sad,84.64
sad,84.68
fear,84.72
sad,84.76
sad,84.8
sad,84.84
sad,84.88
sad,84.92
sad,84.96
sad,85.0
fear,85.04
sad,85.08
sad,85.12
sad,85.16
sad,85.2
fear,85.24
angry,85.28
sad,85.32
sad,85.36
sad,85.4
sad,85.44
sad,85.48
sad,85.52
sad,85.56
angry,85.6
sad,85.64
sad,85.68
sad,85.72
sad,85.76
sad,85.8
sad,85.84
sad,85.88
sad,85.92
sad,85.96
sad,86.0
angry,86.04
sad,86.08
sad,86.12
sad,86.16
angry,86.2
sad,86.24
sad,86.28
angry,86.32
sad,86.36
sad,86.4
angry,86.44
sad,86.48
sad,86.52
angry,86.56
sad,86.6
angry,86.64
angry,86.68
angry,86.72
angry,86.76
angry,86.8
sad,86.84
angry,86.88
sad,86.92
sad,86.96
angry,87.0
angry,87.04
angry,87.08
sad,87.12
sad,87.16
sad,87.2
sad,87.24
sad,87.28
sad,87.32
sad,87.36
sad,87.4
angry,87.44
angry,87.48
sad,87.52
sad,87.56
sad,87.6
angry,87.64
angry,87.68
angry,87.72
sad,87.76
sad,87.8
sad,87.84
sad,87.88
sad,87.92
angry,87.96
sad,88.0
sad,88.04
sad,88.08
sad,88.12
angry,88.16
sad,88.2
angry,88.24
sad,88.28
sad,88.32
angry,88.36
sad,88.4
sad,88.44
sad,88.48
sad,88.52
angry,88.56
sad,88.6
sad,88.64
sad,88.68
sad,88.72
sad,88.76
sad,88.8
sad,88.84
angry,88.88
sad,88.92
sad,88.96
angry,89.0
sad,89.04
angry,89.08
sad,89.12
angry,89.16
angry,89.2
angry,89.24
sad,89.28
angry,89.32
angry,89.36
sad,89.4
sad,89.44
sad,89.48
angry,89.52
angry,89.56
sad,89.6
angry,89.64
angry,89.68
angry,89.72
angry,89.76
sad,89.8
sad,89.84
sad,89.88
angry,89.92
sad,89.96
sad,90.0
angry,90.04
sad,90.08
sad,90.12
neutral,90.12
sad,90.16
sad,90.2
angry,90.24
angry,90.28
angry,90.32
sad,90.36
sad,90.4
angry,90.44
sad,90.48
sad,90.52
sad,90.56
sad,90.6
sad,90.64
sad,90.68
sad,90.72
sad,90.76
angry,90.8
sad,90.84
sad,90.88
angry,90.92
angry,90.96
angry,91.0
angry,91.04
sad,91.08
angry,91.12
sad,91.16
sad,91.2
sad,91.24
angry,91.28
angry,91.32
angry,91.36
sad,91.4
sad,91.44
sad,91.48
sad,91.52
sad,91.56
angry,91.6
sad,91.64
sad,91.68
angry,91.72
sad,91.76
sad,91.8
sad,91.84
angry,91.88
angry,91.92
sad,91.96
sad,92.0
angry,92.04
sad,92.08
angry,92.12
sad,92.16
sad,92.2
sad,92.24
angry,92.28
sad,92.32
sad,92.36
sad,92.4
sad,92.44
sad,92.48
sad,92.52
angry,92.56
angry,92.6
sad,92.64
sad,92.68
sad,92.72
sad,92.76
sad,92.8
sad,92.84
sad,92.88
sad,92.92
sad,92.96
sad,93.0
sad,93.04
sad,93.08
sad,93.12
sad,93.16
sad,93.2
sad,93.24
sad,93.28
sad,93.32
sad,93.36
sad,93.4
sad,93.44
sad,93.48
sad,93.52
sad,93.56
sad,93.6
sad,93.64
sad,93.68
sad,93.72
sad,93.76
sad,93.8
sad,93.84
sad,93.88
sad,93.92
fear,93.96
angry,94.0
sad,94.04
sad,94.08
sad,94.12
sad,94.16
sad,94.2
angry,94.24
sad,94.28
angry,94.32
sad,94.36
sad,94.4
sad,94.44
sad,94.48
angry,94.52
sad,94.56
sad,94.6
angry,94.64
sad,94.68
sad,94.72
sad,94.76
angry,94.8
sad,94.84
sad,94.88
sad,94.92
sad,94.96
sad,95.0
sad,95.04
sad,95.08
sad,95.12
fear,95.16
sad,95.2
fear,95.24
sad,95.28
sad,95.32
sad,95.36
sad,95.4
sad,95.44
sad,95.48
sad,95.52
sad,95.56
sad,95.6
sad,95.64
sad,95.68
sad,95.72
sad,95.76
sad,95.8
sad,95.84
sad,95.92
sad,95.96
sad,96.0
sad,96.04
sad,96.08
sad,96.12
sad,96.16
sad,96.2
sad,96.24
sad,96.28
sad,96.32
sad,96.36
sad,96.4
sad,96.44
sad,96.48
sad,96.52
sad,96.56
sad,96.6
sad,96.64
sad,96.76
sad,96.84
sad,96.88
sad,96.92
sad,96.96
sad,97.0
sad,97.04
sad,97.08
sad,97.12
sad,97.16
fear,97.2
sad,97.24
sad,97.28
sad,97.32
sad,97.36
sad,97.4
sad,97.44
sad,97.48
sad,97.52
sad,97.56
sad,97.6
sad,97.64
sad,97.68
angry,97.72
fear,97.76
sad,97.8
sad,97.84
sad,97.88
sad,97.92
sad,97.96
sad,98.0
sad,98.04
sad,98.08
sad,98.12
sad,98.16
sad,98.2
sad,98.24
sad,98.28
sad,98.32
sad,98.36
sad,98.4
sad,98.44
sad,98.48
sad,98.52
sad,98.56
sad,98.6
sad,98.64
sad,98.68
sad,98.72
sad,98.76
sad,98.8
sad,98.84
sad,98.88
sad,98.92
sad,98.96
sad,99.0
sad,99.04
sad,99.08
sad,99.12
sad,99.16
sad,99.2
sad,99.24
sad,99.28
sad,99.32
sad,99.36
sad,99.4
sad,99.44
sad,99.48
sad,99.56
sad,99.6
sad,99.64
sad,99.68
sad,99.72
sad,99.76
sad,99.76
sad,99.8
sad,100.0
sad,100.4
fear,100.44
sad,100.48
sad,100.52
sad,100.56
sad,100.6
sad,100.64
sad,100.68
sad,100.72
sad,100.76
fear,100.8
happy,100.84
sad,100.88
sad,100.92
sad,100.96
sad,101.0
sad,101.04
sad,101.08
sad,101.12
angry,101.16
sad,101.2
sad,101.24
sad,101.28
sad,101.32
