Timestamp,X_AXIS_CHEAT,Y_AXIS_CHEAT,audio,Emotion,y_actual
40920,0,0,0,sad,
40960,0,0,0,sad,
41000,0,0,0,sad,
41040,0,0,0,sad,
41080,0,0,0,sad,
41120,1,0,0,sad,
41160,1,0,0,sad,
41200,1,0,0,sad,
41240,1,0,0,sad,
41280,0,0,0,sad,
41320,0,0,0,sad,
41360,0,0,0,angry,
41400,0,0,0,neutral,
41440,0,0,0,neutral,
41480,0,0,0,sad,
41520,0,0,0,sad,
41560,0,0,0,sad,
41600,0,0,0,sad,
41640,0,0,0,sad,
41680,0,0,0,sad,
41720,0,0,0,sad,
41760,1,0,0,neutral,
41800,0,0,0,sad,
41840,0,0,0,neutral,
41880,0,0,0,sad,
41920,0,0,0,sad,
41960,1,0,0,sad,
42000,1,0,0,sad,
42040,1,0,0,sad,
42080,0,0,0,neutral,
42120,0,0,0,sad,
42160,0,0,0,sad,
42200,0,0,0,neutral,
42240,0,0,0,sad,
42280,0,0,0,sad,
42320,0,0,0,sad,
42360,0,0,0,angry,
42400,0,0,0,sad,
42440,0,0,0,sad,
42480,0,0,0,fear,
42520,0,0,0,surprise,
42560,0,0,0,surprise,
42600,0,0,0,fear,
42640,0,0,0,fear,
42680,0,0,0,fear,
42720,0,0,0,fear,
42760,1,0,0,surprise,
42800,0,0,0,angry,
42840,1,0,0,sad,
42880,0,0,0,sad,
42920,1,0,0,sad,
42960,0,0,0,sad,
43000,1,0,0,sad,
43040,0,0,0,sad,
43080,0,0,0,sad,
43120,0,0,0,fear,
43160,0,0,0,sad,
43200,0,0,0,sad,
43240,0,0,0,sad,
43280,0,0,0,neutral,
43320,0,0,0,happy,
43360,0,0,0,happy,
43400,0,0,0,happy,
43440,0,0,0,neutral,
43480,0,0,0,neutral,
43520,1,0,0,neutral,
43560,0,0,0,neutral,
43600,1,0,0,sad,
43640,0,0,0,sad,
43680,0,0,0,sad,
43720,0,0,0,sad,
43760,0,0,0,sad,
43800,0,0,0,sad,
43840,0,0,0,sad,
43880,0,0,0,angry,
43920,0,0,0,sad,
43960,0,0,0,neutral,
44000,0,0,0,sad,
